abb,birth_rate,country_x,fertility_rate,gdp,pschool_enrollment,tschool_enrollment,infant_mortality,life_expectancy,maternal_mortality_ratio,minimum_wage,oop_healthcare,physicians_per1000,population,unemployment,country_y,year,region10_ori,iso3,Emigrants_males,Emigrants_females,Emigrants_males_HS,Emigrants_females_HS,Emigrants_HS_total,Labor_males_HS,Labor_females_HS,Labor_HS,Labor,Labor_LS,Labor_females_LS,Labor_males_LS,popf014,popm014,Emigrants_014_female,Emigrants_014_male
MKD,,North Macedonia,,"$10,220,781,069 ",,,,,,,35.60%,,"1,836,713",,North Macedonia,2020.0,ECA-OTH,MKD,335026.0,314124.0,44173.0,40973.0,85146.0,103893.0,104795.0,208689.0,1734497.0,1525808.0,767687.0,758122.0,163345.0,174689.0,33559.0,18001.0
NOR,10.4,Norway,1.56,"$403,336,363,636 ",100.30%,82.00%,2.1,82.8,2.0,,14.30%,2.92,"5,347,896",3.35%,Norway,2020.0,ECA-HIC,NOR,72742.0,89606.0,36765.0,44530.0,81295.0,379851.0,479087.0,853505.0,4451134.0,3597629.0,1730114.0,1862082.0,451401.0,476940.0,7869.0,6120.0
OMN,19.19,Oman,2.89,"$76,983,094,928 ",103.40%,38.00%,9.8,77.6,19.0,$4.33 ,6.40%,2.0,"5,266,535",2.67%,Oman,2020.0,GCC,OMN,11199.0,8977.0,5862.0,3373.0,9235.0,526624.0,234809.0,762571.0,3958298.0,3195727.0,942714.0,2254151.0,558869.0,589455.0,1783.0,2262.0
PAK,28.25,Pakistan,3.51,"$304,400,000,000 ",94.30%,9.00%,57.2,67.1,140.0,$0.69 ,66.50%,0.98,"216,565,318",4.45%,Pakistan,2020.0,SA,PAK,3953628.0,2048225.0,1079702.0,539434.0,1619136.0,5732105.0,3530901.0,9309655.0,143978592.0,134668944.0,66665924.0,68049656.0,37023502.0,39890248.0,101995.0,216282.0
PLW,14.0,Palau,2.21,"$283,994,900 ",112.60%,54.70%,16.6,69.1,,$3.00 ,21.80%,1.18,"18,233",,Palau,2020.0,EAP-OTH,PLW,234.0,165.0,61.0,54.0,115.0,,,,,,,,,,18.0,20.0
PSE,,Palestine,,,,,,,,,,,,,Palestine,2020.0,MENA-OTH,PSE,1668824.0,1503650.0,469772.0,215781.0,685553.0,240011.0,287670.0,527535.0,2960681.0,2433146.0,1179189.0,1253811.0,900632.0,941956.0,371995.0,410228.0
PAN,18.98,Panama,2.46,"$66,800,800,000 ",94.40%,47.80%,13.1,78.3,52.0,$1.53 ,30.50%,1.57,"4,246,439",3.90%,Panama,2020.0,LAC,PAN,76106.0,103530.0,41363.0,60606.0,101969.0,211731.0,278614.0,490136.0,3171578.0,2681442.0,1317115.0,1364118.0,559159.0,584031.0,3687.0,4100.0
PNG,27.07,Papua New Guinea,3.56,"$24,969,611,435 ",108.50%,1.80%,38.0,64.3,145.0,$1.16 ,5.80%,0.07,"8,776,109",2.46%,Papua New Guinea,2020.0,EAP-OTH,PNG,1352.0,1546.0,673.0,778.0,1451.0,14392.0,16698.0,32320.0,5802505.0,5770185.0,2842578.0,2928837.0,1519679.0,1624843.0,104.0,118.0
PRY,20.57,Paraguay,2.43,"$38,145,288,940 ",104.40%,34.60%,17.2,74.1,129.0,$1.55 ,36.50%,1.35,"7,044,636",4.81%,Paraguay,2020.0,LAC,PRY,333611.0,461991.0,21748.0,37311.0,59059.0,207373.0,279609.0,491396.0,5071693.0,4580297.0,2221139.0,2363574.0,1007423.0,1053414.0,57026.0,55808.0
PER,17.95,Peru,2.25,"$226,848,050,820 ",106.90%,70.70%,11.1,76.5,88.0,$1.28 ,30.90%,1.27,"32,510,453",3.31%,Peru,2020.0,LAC,PER,659168.0,795241.0,210752.0,248741.0,459493.0,1937737.0,1924127.0,3870065.0,24830392.0,20960328.0,10612537.0,10355990.0,4056576.0,4084879.0,58719.0,60435.0
PHL,20.55,Philippines,2.58,"$376,795,508,680 ",107.50%,35.50%,22.5,71.1,121.0,$1.12 ,53.50%,0.6,"108,116,615",2.15%,Philippines,2020.0,EAP-OTH,PHL,2704431.0,3170604.0,1225750.0,1654127.0,2879877.0,2142340.0,2932241.0,5028129.0,76659984.0,71631856.0,35573880.0,36011528.0,16046139.0,16874956.0,146251.0,204909.0
POL,10.2,Poland,1.46,"$592,164,400,688 ",100.00%,67.80%,3.8,77.6,2.0,$2.93 ,23.20%,2.38,"37,970,874",3.47%,Poland,2020.0,ECA-HIC,POL,1994865.0,2205477.0,653808.0,842628.0,1496436.0,2038040.0,3073161.0,5089983.0,32131702.0,27041720.0,13651523.0,13368978.0,2811082.0,2956286.0,144039.0,147037.0
PRT,8.5,Portugal,1.38,"$237,686,075,635 ",106.20%,63.90%,3.1,81.3,8.0,$3.78 ,27.70%,5.12,"10,269,417",6.33%,Portugal,2020.0,ECA-HIC,PRT,981674.0,919490.0,179878.0,183049.0,362927.0,105877.0,383044.0,446392.0,8952903.0,8506511.0,4388301.0,4075682.0,654216.0,689962.0,54164.0,61169.0
QAT,9.54,Qatar,1.87,"$183,466,208,791 ",103.80%,17.90%,5.8,80.1,9.0,,6.20%,2.49,"2,832,067",0.09%,Qatar,2020.0,GCC,QAT,10812.0,11015.0,3560.0,4137.0,7697.0,173717.0,104426.0,274040.0,2488106.0,2214066.0,420328.0,1789635.0,191171.0,201783.0,2102.0,1866.0
ROU,9.6,Romania,1.71,"$250,077,444,017 ",85.20%,49.40%,6.1,75.4,19.0,$2.25 ,21.30%,2.98,"19,356,544",3.98%,,,,,,,,,,,,,,,,,,,,
RUS,11.5,Russia,1.57,"$1,699,876,578,871 ",102.60%,81.90%,6.1,72.7,17.0,$0.53 ,36.40%,4.01,"144,373,535",4.59%,Russian Federation,2020.0,ECA-OTH,RUS,3854702.0,5111668.0,1318376.0,1891660.0,3210036.0,16291987.0,15774894.0,32441412.0,117618048.0,85176640.0,48641352.0,36909816.0,12879313.0,13575776.0,865338.0,701526.0
RWA,31.7,Rwanda,4.04,"$10,122,472,590 ",133.00%,6.70%,27.0,68.7,248.0,,26.00%,0.13,"12,626,950",1.03%,Rwanda,2020.0,SSA,RWA,199832.0,208231.0,55828.0,41854.0,97682.0,85542.0,56606.0,143697.0,7839420.0,7695724.0,3980936.0,3716336.0,2547236.0,2565553.0,47218.0,46606.0
KNA,12.6,Saint Kitts and Nevis,2.11,"$1,050,992,593 ",108.70%,86.70%,9.8,71.3,,$3.33 ,56.60%,2.52,"52,823",,St. Kitts and Nevis,2020.0,LAC,KNA,10548.0,13617.0,4340.0,5667.0,10007.0,,,,,,,,,,666.0,773.0
LCA,12.0,Saint Lucia,1.44,"$2,122,450,630 ",102.60%,14.10%,14.9,76.1,117.0,,48.40%,0.64,"182,790",20.71%,St. Lucia,2020.0,LAC,LCA,20251.0,27773.0,7375.0,13679.0,21054.0,12937.0,17607.0,30649.0,150665.0,120016.0,59330.0,60791.0,16270.0,16694.0,1009.0,996.0
VCT,14.24,Saint Vincent and the Grenadines,1.89,"$825,385,185 ",113.40%,23.70%,14.8,72.4,68.0,$1.16 ,21.40%,0.66,"100,455",18.88%,St. Vincent and the Grenadines,2020.0,LAC,VCT,25233.0,31497.0,8405.0,12814.0,21219.0,4556.0,5990.0,10553.0,86645.0,76092.0,36677.0,39422.0,12062.0,12240.0,1050.0,1002.0
WSM,24.38,Samoa,3.88,"$850,655,017 ",110.50%,7.60%,13.6,73.2,43.0,$0.78 ,11.50%,0.34,"202,506",8.36%,Samoa,2020.0,EAP-OTH,WSM,50956.0,53481.0,6799.0,9211.0,16010.0,7698.0,7401.0,15099.0,124603.0,109504.0,52820.0,56684.0,35486.0,38321.0,416.0,422.0
SMR,6.8,San Marino,1.26,"$1,637,931,034 ",108.10%,42.50%,1.7,85.4,,,18.30%,6.11,"33,860",,San Marino,2020.0,ECA-HIC,SMR,694.0,687.0,87.0,118.0,205.0,,,,,,,,,,75.0,69.0
STP,31.54,Sao Tome and Principe,4.32,"$429,016,605 ",106.80%,13.40%,24.4,70.2,130.0,,11.70%,0.05,"215,056",13.37%,Sao Tome and Principe,2020.0,SSA,STP,16047.0,18270.0,1963.0,2922.0,4885.0,689.0,828.0,1519.0,127644.0,126125.0,63394.0,62733.0,45264.0,46253.0,862.0,854.0
SAU,17.8,Saudi Arabia,2.32,"$792,966,838,162 ",99.80%,68.00%,6.0,75.0,17.0,$3.85 ,15.00%,2.61,"34,268,528",5.93%,Saudi Arabia,2020.0,GCC,SAU,161090.0,107365.0,88419.0,54136.0,142555.0,2881675.0,1760093.0,4598838.0,26216152.0,21617314.0,8686800.0,12887584.0,4235666.0,4362049.0,16962.0,21929.0
SEN,34.52,Senegal,4.63,"$23,578,084,052 ",81.00%,12.80%,31.8,67.7,315.0,$0.31 ,44.20%,0.07,"16,296,364",6.60%,Senegal,2020.0,SSA,SEN,390046.0,231302.0,69782.0,43328.0,113110.0,162205.0,46909.0,206860.0,9612430.0,9405570.0,5007911.0,4395406.0,3518326.0,3613174.0,26596.0,59535.0
SRB,9.2,Serbia,1.49,"$51,409,167,351 ",100.30%,67.20%,4.8,75.5,12.0,$1.57 ,40.60%,3.11,"6,944,975",12.69%,,,,,,,,,,,,,,,,,,,,
SYC,17.1,Seychelles,2.41,"$1,698,843,063 ",100.40%,17.10%,12.4,72.8,53.0,$2.00 ,2.50%,0.95,"97,625",,Seychelles,2020.0,SSA,SYC,10968.0,14077.0,3645.0,4385.0,8030.0,6091.0,6025.0,12127.0,75062.0,62935.0,30551.0,32395.0,11384.0,12016.0,1548.0,1161.0
SLE,33.41,Sierra Leone,4.26,"$3,941,474,311 ",112.80%,2.00%,78.5,54.3,1120.0,$0.57 ,38.20%,0.03,"7,813,215",4.43%,Sierra Leone,2020.0,SSA,SLE,67982.0,62732.0,27907.0,25220.0,53127.0,15753.0,28153.0,41687.0,4758781.0,4717094.0,2361743.0,2353132.0,1605850.0,1612354.0,7482.0,6948.0
SGP,8.8,Singapore,1.14,"$372,062,527,489 ",100.60%,84.80%,2.3,83.1,8.0,,36.70%,2.29,"5,703,569",4.11%,Singapore,2020.0,EAP-HIC,SGP,146532.0,159515.0,65094.0,71418.0,136512.0,1037098.0,931206.0,1965085.0,4986385.0,3021301.0,1439482.0,1578599.0,338985.0,360437.0,23248.0,25916.0
SVK,10.6,Slovakia,1.52,"$105,422,304,976 ",98.70%,46.60%,4.6,77.2,5.0,$3.11 ,18.40%,3.42,"5,454,073",5.56%,Slovak Republic,2020.0,ECA-HIC,SVK,155643.0,191260.0,51397.0,70475.0,121872.0,172582.0,251231.0,418845.0,4609786.0,4190941.0,2134852.0,2051122.0,414663.0,434378.0,11509.0,10904.0
SVN,9.4,Slovenia,1.6,"$53,742,159,517 ",100.40%,78.60%,1.7,81.0,7.0,$5.25 ,12.50%,3.09,"2,087,946",4.20%,Slovenia,2020.0,ECA-HIC,SVN,58152.0,71567.0,15725.0,18229.0,33954.0,108315.0,171512.0,276870.0,1784187.0,1507317.0,729478.0,774882.0,154503.0,163729.0,3705.0,3548.0
SLB,32.44,Solomon Islands,4.4,"$1,425,074,226 ",106.20%,,17.1,72.8,104.0,$0.40 ,3.30%,0.19,"669,823",0.58%,Solomon Islands,2020.0,EAP-OTH,SLB,1890.0,1986.0,612.0,798.0,1410.0,14255.0,9600.0,23878.0,411917.0,388039.0,194828.0,193234.0,133188.0,141773.0,116.0,90.0
SOM,41.75,Somalia,6.07,"$4,720,727,278 ",23.40%,2.50%,76.6,57.1,829.0,,,0.02,"15,442,905",11.35%,Somalia,2020.0,SSA,SOM,868591.0,802404.0,113070.0,80816.0,193886.0,150126.0,48271.0,198732.0,8558512.0,8359780.0,4278182.0,4081933.0,3642679.0,3692028.0,143634.0,167770.0
ZAF,20.51,South Africa,2.41,"$351,431,649,241 ",100.90%,22.40%,28.5,63.9,119.0,,7.70%,0.91,"58,558,270",28.18%,South Africa,2020.0,SSA,ZAF,426472.0,434934.0,229442.0,233818.0,463260.0,996026.0,990399.0,1987630.0,42227120.0,40239488.0,20657676.0,19583020.0,8444602.0,8636966.0,29350.0,36170.0
KOR,6.4,South Korea,0.98,"$2,029,000,000,000 ",98.10%,94.30%,2.7,82.6,11.0,$6.49 ,36.80%,2.36,"51,709,098",4.15%,"Korea, Rep.",2020.0,EAP-HIC,KOR,963114.0,1119927.0,590883.0,642687.0,1233570.0,6801241.0,5684818.0,12483313.0,45334520.0,32851208.0,17044454.0,15804006.0,3157238.0,3344482.0,95571.0,110324.0
SSD,35.01,South Sudan,4.7,"$11,997,800,751 ",73.00%,,63.7,57.6,1150.0,,61.30%,,"11,062,113",12.24%,South Sudan,2020.0,SSA,SSD,1147213.0,1163076.0,404896.0,407168.0,812064.0,162136.0,110509.0,272892.0,6567616.0,6294725.0,3195916.0,3099055.0,2284290.0,2341823.0,143471.0,127471.0
ESP,7.9,Spain,1.26,"$1,394,116,310,769 ",102.70%,88.90%,2.5,83.3,4.0,$5.60 ,24.20%,3.87,"47,076,781",13.96%,Spain,2020.0,ECA-HIC,ESP,618448.0,672051.0,232602.0,251912.0,484514.0,3927543.0,4481469.0,8395310.0,40543340.0,32148030.0,16302636.0,15831693.0,3301855.0,3518226.0,45081.0,44832.0
LKA,15.83,Sri Lanka,2.2,"$84,008,783,756 ",100.20%,19.60%,6.4,76.8,36.0,$0.35 ,38.40%,1.0,"21,803,000",4.20%,Sri Lanka,2020.0,SA,LKA,1030545.0,743544.0,271758.0,205225.0,476983.0,206254.0,267330.0,472218.0,16727518.0,16255300.0,8575866.0,7678068.0,2565953.0,2625529.0,83218.0,99307.0
SDN,32.18,Sudan,4.41,"$18,902,284,476 ",76.80%,16.90%,42.1,65.1,295.0,$0.41 ,63.20%,0.26,"42,813,238",16.53%,Sudan,2020.0,SSA,SDN,995340.0,791649.0,251888.0,184943.0,436831.0,474494.0,554681.0,1027392.0,26397540.0,25370148.0,12782202.0,12586162.0,8605091.0,8846639.0,149693.0,179740.0
SUR,18.54,Suriname,2.42,"$3,985,250,737 ",108.80%,12.60%,16.9,71.6,120.0,,10.10%,1.21,"581,372",7.33%,Suriname,2020.0,LAC,SUR,79652.0,104639.0,18433.0,25545.0,43978.0,12228.0,15279.0,27486.0,430209.0,402723.0,201151.0,201551.0,75382.0,81043.0,7769.0,7223.0
SWE,11.4,Sweden,1.76,"$530,832,908,738 ",126.60%,67.00%,2.2,82.5,4.0,,15.20%,3.98,"10,285,453",6.48%,Sweden,2020.0,ECA-HIC,SWE,130745.0,160556.0,63893.0,84242.0,148135.0,797252.0,1073114.0,1876164.0,8528796.0,6652632.0,3206846.0,3451585.0,887215.0,937431.0,14738.0,12455.0
CHE,10.0,Switzerland,1.52,"$703,082,435,360 ",105.20%,59.60%,3.7,83.6,5.0,,28.30%,4.3,"8,574,832",4.58%,Switzerland,2020.0,ECA-HIC,CHE,286586.0,322106.0,110706.0,118600.0,229306.0,935439.0,722421.0,1649314.0,7344648.0,5695334.0,2999865.0,2686923.0,629585.0,662328.0,20601.0,13328.0
SYR,23.69,Syria,2.81,"$40,405,006,007 ",81.70%,40.10%,14.0,71.8,31.0,$1.02 ,53.70%,1.22,"17,070,135",8.37%,Syrian Arab Republic,2020.0,MENA-OTH,SYR,4074099.0,2954518.0,880115.0,335297.0,1215412.0,294601.0,160162.0,457822.0,12114891.0,11657069.0,5941233.0,5718896.0,2639198.0,2746568.0,240569.0,653797.0
TJK,30.76,Tajikistan,3.59,"$8,116,626,794 ",100.90%,31.30%,30.4,70.9,17.0,$0.23 ,63.10%,1.7,"9,321,018",11.02%,Tajikistan,2020.0,ECA-OTH,TJK,323558.0,237271.0,70612.0,75412.0,146024.0,358877.0,233330.0,617740.0,5982954.0,5365214.0,2770405.0,2620342.0,1728169.0,1826519.0,5336.0,7553.0
TZA,36.7,Tanzania,4.89,"$63,177,068,175 ",94.20%,4.00%,37.6,65.0,524.0,$0.09 ,26.10%,0.01,"58,005,463",1.98%,Tanzania,2020.0,SSA,TZA,125649.0,126230.0,35150.0,32806.0,67956.0,229064.0,117790.0,351334.0,33717316.0,33365982.0,16903890.0,16466573.0,12861425.0,13155471.0,16135.0,16517.0
THA,10.34,Thailand,1.53,"$543,649,976,166 ",99.80%,49.30%,7.8,76.9,37.0,$1.06 ,11.80%,0.81,"69,625,582",0.75%,Thailand,2020.0,EAP-OTH,THA,374451.0,596861.0,191438.0,222856.0,414294.0,3637221.0,4807828.0,8344371.0,58246340.0,49901968.0,25416776.0,24384516.0,5609314.0,5944323.0,52590.0,65960.0
TLS,29.42,East Timor,4.02,"$1,673,540,300 ",115.30%,17.80%,39.3,69.3,142.0,$0.60 ,10.20%,0.72,"3,500,000",4.55%,,,,,,,,,,,,,,,,,,,,
TGO,33.11,Togo,4.32,"$5,459,979,417 ",123.80%,14.50%,47.4,60.8,396.0,$0.34 ,51.00%,0.08,"8,082,366",2.04%,Togo,2020.0,SSA,TGO,244887.0,245705.0,39946.0,20413.0,60359.0,70949.0,38079.0,108956.0,4914565.0,4805609.0,2444242.0,2361296.0,1677012.0,1687160.0,38641.0,38905.0
TON,24.3,Tonga,3.56,"$450,353,314 ",116.30%,6.40%,13.4,70.8,52.0,,10.20%,0.52,"100,209",1.12%,Tonga,2020.0,EAP-OTH,TON,30323.0,30493.0,5685.0,6779.0,12464.0,43.0,32.0,72.0,68955.0,68883.0,35086.0,33794.0,17675.0,19067.0,341.0,256.0
TTO,12.94,Trinidad and Tobago,1.73,"$24,100,202,834 ",106.20%,12.00%,16.4,73.4,67.0,$2.25 ,37.30%,4.17,"1,394,973",2.69%,Trinidad and Tobago,2020.0,LAC,TTO,145187.0,199294.0,73421.0,109771.0,183192.0,36733.0,50946.0,87506.0,1118720.0,1031214.0,519361.0,511680.0,138237.0,142534.0,3979.0,3357.0
TUN,17.56,Tunisia,2.2,"$38,797,709,924 ",115.40%,31.70%,14.6,76.5,43.0,$0.47 ,39.80%,1.3,"11,694,719",16.02%,Tunisia,2020.0,MENA-OTH,TUN,383784.0,293025.0,105411.0,83671.0,189082.0,418932.0,412731.0,826866.0,8947793.0,8120928.0,4153386.0,3962744.0,1391749.0,1479076.0,9970.0,19826.0
TUR,16.03,Turkey,2.07,"$754,411,708,203 ",93.20%,23.90%,9.1,77.4,17.0,$3.45 ,16.90%,1.85,"83,429,615",13.49%,Turkiye,2020.0,ECA-OTH,TUR,1476097.0,1325854.0,320448.0,280368.0,600816.0,3239804.0,2534631.0,5735986.0,64146560.0,58410576.0,30297376.0,28074748.0,9870936.0,10321572.0,104213.0,126725.0
TKM,23.83,Turkmenistan,2.79,"$40,761,142,857 ",88.40%,8.00%,39.3,68.1,7.0,$0.88 ,71.10%,2.22,"5,942,089",3.91%,Turkmenistan,2020.0,ECA-OTH,TKM,113054.0,123233.0,34941.0,46444.0,81385.0,268364.0,237114.0,505797.0,4174074.0,3668277.0,1909031.0,1759565.0,915732.0,941381.0,742.0,1059.0
TUV,,Tuvalu,,"$47,271,463 ",86.00%,,20.6,,,,0.70%,0.92,"11,646",,Tuvalu,2020.0,EAP-OTH,TUV,1814.0,1839.0,490.0,399.0,889.0,,,,,,,,,,210.0,188.0
UGA,38.14,Uganda,4.96,"$34,387,229,486 ",102.70%,4.80%,33.8,63.0,375.0,$0.01 ,40.50%,0.17,"44,269,594",1.84%,Uganda,2020.0,SSA,UGA,305441.0,327807.0,76049.0,70534.0,146583.0,164955.0,101486.0,277301.0,24692872.0,24415572.0,12664088.0,11762343.0,10428837.0,10619291.0,61874.0,57146.0
UKR,8.7,Ukraine,1.3,"$153,781,069,118 ",99.00%,82.70%,7.5,71.6,19.0,$0.84 ,47.80%,2.99,"44,385,155",8.88%,Ukraine,2020.0,ECA-OTH,UKR,2567756.0,3089286.0,916145.0,1132930.0,2049075.0,3901311.0,6304455.0,10149310.0,37075104.0,26925794.0,13955379.0,12913961.0,3424527.0,3632415.0,211660.0,108384.0
ARE,10.33,United Arab Emirates,1.41,"$421,142,267,938 ",108.40%,36.80%,6.5,77.8,3.0,,17.80%,2.53,"9,770,529",2.35%,United Arab Emirates,2020.0,GCC,ARE,91831.0,77954.0,31501.0,22444.0,53945.0,2637281.0,864351.0,3509108.0,8425228.0,4916121.0,1471986.0,3451610.0,717714.0,747458.0,16979.0,19733.0
GBR,11.0,United Kingdom,1.68,"$2,827,113,184,696 ",101.20%,60.00%,3.6,81.3,7.0,$10.13 ,14.80%,2.81,"66,834,405",3.85%,United Kingdom,2020.0,ECA-HIC,GBR,2256521.0,2180563.0,1107196.0,1070741.0,2177937.0,6339583.0,6714723.0,13052486.0,55222904.0,42170416.0,21430992.0,20737608.0,5790623.0,6067470.0,117035.0,118055.0
USA,11.6,United States,1.73,"$21,427,700,000,000 ",101.80%,88.20%,5.6,78.5,19.0,$7.25 ,11.10%,2.61,"328,239,523",14.70%,United States,2020.0,NOAM,USA,1153432.0,1146012.0,520655.0,531801.0,1052456.0,37582080.0,41044508.0,78533104.0,270598528.0,192065424.0,96647152.0,95324800.0,29776773.0,31125769.0,196355.0,204074.0
URY,13.86,Uruguay,1.97,"$56,045,912,952 ",108.50%,63.10%,6.4,77.8,17.0,$1.66 ,16.20%,5.05,"3,461,734",8.73%,Uruguay,2020.0,LAC,URY,175502.0,180437.0,38936.0,43132.0,82068.0,95596.0,166916.0,259521.0,2767343.0,2507822.0,1283140.0,1221692.0,345335.0,361049.0,2502.0,3976.0
UZB,23.3,Uzbekistan,2.42,"$57,921,286,440 ",104.20%,10.10%,19.1,71.6,29.0,$0.24 ,42.70%,2.37,"33,580,650",5.92%,Uzbekistan,2020.0,ECA-OTH,UZB,1036063.0,960180.0,267034.0,291191.0,558225.0,2123299.0,2224163.0,4347250.0,24373202.0,20025952.0,10135820.0,9889921.0,4794583.0,5064265.0,8871.0,10521.0
VUT,29.6,Vanuatu,3.78,"$917,058,851 ",109.30%,4.70%,22.3,70.3,72.0,$1.56 ,8.90%,0.17,"299,882",4.39%,Vanuatu,2020.0,EAP-OTH,VUT,1035.0,991.0,377.0,476.0,853.0,3850.0,3231.0,7087.0,189173.0,182086.0,91243.0,90849.0,56986.0,60991.0,40.0,50.0
VEN,17.88,Venezuela,2.27,"$482,359,318,768 ",97.20%,79.30%,21.4,72.1,125.0,$0.01 ,45.80%,1.92,"28,515,829",8.80%,"Venezuela, RB",2020.0,LAC,VEN,2195041.0,2319608.0,920951.0,792488.5,1713439.5,1432925.0,2316526.0,3705871.0,20683548.0,16977676.0,8339556.0,8594542.0,3794930.0,3957465.0,375424.0,381347.0
VNM,16.75,Vietnam,2.05,"$261,921,244,843 ",110.60%,28.50%,16.5,75.3,43.0,$0.73 ,43.50%,0.82,"96,462,106",2.01%,Vietnam,2020.0,EAP-OTH,VNM,1458866.0,1575188.0,610521.0,549952.0,1160473.0,1702263.0,1351767.0,3059255.0,74761840.0,71702584.0,36715452.0,34992352.0,10673109.0,11903637.0,125891.0,146278.0
YEM,30.45,Yemen,3.79,"$26,914,402,224 ",93.60%,10.20%,42.9,66.1,164.0,,81.00%,0.31,"29,161,922",12.91%,"Yemen, Rep.",2020.0,MENA-OTH,YEM,809089.0,428021.0,171902.0,83239.0,255141.0,468147.0,175297.0,653861.0,18243880.0,17590020.0,8950011.0,8650424.0,5675675.0,5906414.0,29829.0,51052.0
ZMB,36.19,Zambia,4.63,"$23,064,722,446 ",98.70%,4.10%,40.4,63.5,213.0,$0.24 ,27.50%,1.19,"17,861,030",11.43%,Zambia,2020.0,SSA,ZMB,79831.0,87238.0,25556.0,26670.0,52226.0,73089.0,41543.0,115165.0,10291816.0,10176651.0,5230427.0,4946757.0,4008980.0,4083160.0,5081.0,6964.0
ZWE,30.68,Zimbabwe,3.62,"$21,440,758,800 ",109.90%,10.00%,33.9,61.2,458.0,,25.80%,0.21,"14,645,468",4.95%,Zimbabwe,2020.0,SSA,ZWE,568560.0,521132.0,104561.0,106734.0,211295.0,183789.0,90895.0,285258.0,8633707.0,8348450.0,4577572.0,3781451.0,3102450.0,3126770.0,46737.0,46256.0
